id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
5371203,Route Forestière 38 des Camphriers Climb,Run,1204.2,92.8,617.7,681.6,315,328.0,333.0,2196.0,1520.0
22762335,Sentier Mare Longue,Run,2084.6,405.3,143.5,548.8,1479,1832.2,1975.0,257.0,165.0
26744983,Sentier Payet jusqu'à l'intersection route forestière,Run,1790.3,247.4,693.4,934.0,902,998.3,1086.0,291.0,109.0
17456585,montee jacq payet,Run,3434.4,551.0,879.4,1425.6,2166,2384.3,2596.0,119.0,108.0
22727831,FDM,Ride,1346.7,9.5,6.1,10.8,105,115.0,119.0,26277.0,3826.0
21670870,entrée terre sainte sud ,Ride,460.4,3.2,89.8,93.2,35,38.1,40.0,22282.0,3721.0
19314912,Pierrefond nouvelle route domaine cafe vers rpima ,Ride,1799.4,14.5,49.0,58.2,146,153.0,161.0,17336.0,3237.0
8323432,bassin plat,Ride,1156.2,50.8,78.2,129.0,139,146.8,156.0,6210.0,1197.0
19279513,Front de mer sud aller papy ,Ride,1777.9,18.4,5.6,11.4,158,161.5,165.0,23048.0,4515.0
19918471,Marius et ary le blond sous préfecture ,Ride,1812.9,38.8,18.0,42.7,191,209.1,218.0,2393.0,976.0
6405400,Chemin Neuf,Ride,3755.2,54.6,105.8,154.0,319,322.5,325.0,30829.0,4089.0
19060674,Descente foufou manapany ,Ride,2501.2,52.7,51.1,152.0,142,143.3,144.0,27240.0,4650.0
14144666,Bosse sortie Plaine des Grègues - Mica,Ride,596.2,50.0,655.0,705.0,91,108.3,119.0,6532.0,1196.0
26887922,Descente croisée Bezaves à croisée Goyaves,Ride,6370.9,0.0,62.3,426.3,460,479.1,487.0,5290.0,1116.0
13091557,papaille,Ride,1277.8,45.5,41.9,80.4,111,112.1,113.0,19265.0,3704.0
16656798,Chemin de ceinture complet,Ride,4680.0,248.0,56.0,304.0,855,953.5,1065.0,412.0,88.0
5371163,Chemin de Ceinture Climb,Ride,1601.8,95.1,12.8,99.6,261,307.3,357.0,429.0,122.0
6380122,Chemin de Ceinture Climb,Ride,2021.7,116.4,183.4,297.0,401,437.4,471.0,408.0,85.0
21354564,Montée chemin de cannes,Ride,3570.2,174.8,163.8,338.6,642,746.7,799.0,248.0,87.0
21354589,Descente Chemin Ceinture,Ride,4268.3,0.0,99.0,338.8,438,485.7,513.0,263.0,87.0
21354628,Montée Descente Chemin Ceinture,Ride,8216.1,182.2,99.0,344.2,1208,1355.2,1543.0,231.0,82.0
24376750,Pointe au Sel par Voie Séurisée,Ride,486.0,13.0,15.6,28.6,25,28.3,31.0,128686.0,10009.0
19332366,raidard portail,Ride,349.5,26.6,50.2,76.8,69,81.78,,271.0,99.0
12421107,"montee pierre Roger ""Le Plate""",Ride,4385.0,412.8,364.4,727.7,773,928.5,985.0,1237.0,424.0
25032020,CLM Test #3 2020,Ride,13264.6,93.4,30.8,71.2,870,925.6,1003.0,10746.0,1789.0
7934786,Croisé le gol - Bellevue,Ride,5906.1,391.1,29.0,385.3,1022,1061.3,1084.0,2064.0,501.0
7376164,5 K climb to Les Makes,Ride,5095.7,446.0,394.6,830.2,1018,1148.7,1206.0,2092.0,1087.0
17848722,Fond Parc / Portail Dimitile,Ride,5692.9,519.1,489.2,1008.3,1149,1215.3,1293.0,2277.0,595.0
25474076,Full Descente les Makes,Ride,5959.9,2.2,375.6,870.4,412,426.9,436.0,2862.0,1216.0
16196796,Tampon - Maison du Volcan - Mica,Ride,16612.8,1028.2,548.0,1576.2,2845,3223.9,3493.0,1419.0,674.0
23345735,Fist 6km Notre dame ,Ride,6101.0,498.2,574.9,1073.1,1256,1344.6,1393.0,2999.0,1148.0
26283814,Terrain Fleury - Plaine des grègues A/R,Ride,40409.1,709.7,442.6,699.9,4448,4819.1,5158.0,500.0,141.0
16631645,Montée Chemin Henri Cabeu,Ride,1710.4,110.8,814.0,924.8,263,289.4,303.0,6288.0,1305.0
23832664,De Gaulle to Certat ,Ride,804.5,48.7,607.3,656.0,90,103.4,114.0,12718.0,1632.0
21765122,fin la plaine ,Ride,2433.4,135.6,1393.8,1529.4,392,427.3,443.0,6147.0,1725.0
14853799,Raidillon Grand Tampon,Ride,1152.8,136.9,822.8,959.7,286,330.0,344.0,3371.0,1226.0
6131159,Route Forestière 5 du Volcan Climb,Ride,551.2,143.0,2205.0,2345.6,45,51.1,54.0,3661.0,1815.0
16462236,Chemin Safer Grand Coude,Ride,1266.8,120.5,1178.0,1295.5,342,399.3,423.0,119.0,83.0
4047657,Sentier de la Rivière des Remparts Roche Plate Climb,Ride,420.4,91.1,1369.2,1458.9,64,79.4,84.0,309.0,159.0
10735044,G-Coude3,Ride,1388.6,67.2,1115.2,1183.4,196,275.78,,176.0,68.0
21153997,Montée Oratoire jusqu'à la 2nde station météo,Ride,1849.4,103.8,2311.8,2415.6,716,1027.3,1316.0,46.0,31.0
